Case,Th_out(K),Conversion(%),dP(kPa),Q(W)
A_HighT_LowP,51.74089436904824,-53.36023660378415,3.18994694017584,9644.798979060526
B_MidT_MidP,51.76143101764323,-53.98606832568398,1.9473787969059777,9163.727078462884
C_LowT_HighP,51.33471208768314,-56.547425227269464,1.4812205713114235,7937.98019578537
