Structure,Th_out(K),Tc_out(K),Conversion(%),dP_hot(kPa),dP_cold(kPa),Q_total(W)
Diamond,52.12027786822383,66.3609836584149,-55.9138765024775,0.714607124727685,0.0240256031639874,7254.697402140523
Gyroid,52.12027786822383,66.3609836584149,-55.9138765024775,0.714607124727685,0.0240256031639874,7254.697402140523
Plate,52.12027786822383,66.3609836584149,-55.9138765024775,0.714607124727685,0.0240256031639874,7254.697402140523
Wavy,52.12027786822383,66.3609836584149,-55.9138765024775,0.714607124727685,0.0240256031639874,7254.697402140523
