Structure,N,Avg_Time(s),Std_Time(s)
Plate,50,3.803050915400187,0.09076191597864464
Wavy,50,5.077604373296102,1.1370743431966328
Gyroid,50,3.819106340408325,0.06405728404357748
Diamond,50,3.7043567498524985,0.013929605113792895
