eps,PEC_Gyroid_Re500,PEC_Diamond_Re500,PEC_Primitive_Re500,PEC_Neovius_Re500,PEC_FRD_Re500,PEC_FKS_Re500,PEC_Gyroid_Re2000,PEC_Diamond_Re2000,PEC_Primitive_Re2000,PEC_Neovius_Re2000,PEC_FRD_Re2000,PEC_FKS_Re2000,PEC_Gyroid_Re5000,PEC_Diamond_Re5000,PEC_Primitive_Re5000,PEC_Neovius_Re5000,PEC_FRD_Re5000,PEC_FKS_Re5000
5.000000e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.103448e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.206897e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.310345e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.413793e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.517241e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.620690e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.724138e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.827586e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
5.931034e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
