a_mm,Dh_mm,Re,PEC_Gyroid,j_Gyroid,f_Gyroid,PEC_Diamond,j_Diamond,f_Diamond,PEC_Primitive,j_Primitive,f_Primitive,PEC_Neovius,j_Neovius,f_Neovius,PEC_FRD,j_FRD,f_FRD,PEC_FKS,j_FKS,f_FKS,j_SmoothPlateFin,f_SmoothPlateFin
6.413793e+00,2.654046e+00,2.654046e+02,1.630082e+00,6.040389e-02,8.187632e-01,1.299129e+00,4.925279e-02,8.768542e-01,6.214341e-01,2.454100e-02,9.910211e-01,7.184326e-01,2.784762e-02,9.371249e-01,1.069974e+00,4.213302e-02,9.825159e-01,1.447555e+00,5.759069e-02,1.013312e+00,1.553126e-02,6.028532e-02
6.689655e+00,2.768198e+00,2.768198e+02,1.660115e+00,5.964608e-02,8.118963e-01,1.318770e+00,4.848111e-02,8.697198e-01,6.346576e-01,2.428399e-02,9.806424e-01,7.326909e-01,2.749802e-02,9.253603e-01,1.087387e+00,4.151657e-02,9.742756e-01,1.467264e+00,5.665257e-02,1.007636e+00,1.489079e-02,5.779933e-02
6.965517e+00,2.882351e+00,2.882351e+02,1.689454e+00,5.892784e-02,8.053611e-01,1.337897e+00,4.775199e-02,8.629283e-01,6.476111e-01,2.403990e-02,9.707855e-01,7.466390e-01,2.716667e-02,9.142100e-01,1.104362e+00,4.093352e-02,9.664333e-01,1.486428e+00,5.576674e-02,1.002219e+00,1.430106e-02,5.551024e-02
7.241379e+00,2.996503e+00,2.996503e+02,1.718143e+00,5.824565e-02,7.991293e-01,1.356542e+00,4.706152e-02,8.564506e-01,6.603106e-01,2.380760e-02,9.614048e-01,7.602954e-01,2.685197e-02,9.036195e-01,1.120927e+00,4.038084e-02,9.589552e-01,1.505084e+00,5.492838e-02,9.970392e-01,1.375626e-02,5.339557e-02
7.517241e+00,3.110656e+00,3.110656e+02,1.746219e+00,5.759644e-02,7.931761e-01,1.374736e+00,4.640631e-02,8.502611e-01,6.727704e-01,2.358611e-02,9.524606e-01,7.736771e-01,2.655247e-02,8.935408e-01,1.137108e+00,3.985587e-02,9.518113e-01,1.523264e+00,5.413327e-02,9.920789e-01,1.325144e-02,5.143610e-02
7.793103e+00,3.224808e+00,3.224808e+02,1.773717e+00,5.697747e-02,7.874794e-01,1.392504e+00,4.578335e-02,8.443370e-01,6.850036e-01,2.337455e-02,9.439174e-01,7.867993e-01,2.626693e-02,8.839319e-01,1.152926e+00,3.935629e-02,9.449753e-01,1.540996e+00,5.337772e-02,9.873207e-01,1.278236e-02,4.961535e-02
8.068966e+00,3.338961e+00,3.338961e+02,1.800669e+00,5.638635e-02,7.820198e-01,1.409872e+00,4.518999e-02,8.386582e-01,6.970221e-01,2.317216e-02,9.357442e-01,7.996760e-01,2.599424e-02,8.747553e-01,1.168403e+00,3.888003e-02,9.384237e-01,1.558307e+00,5.265846e-02,9.827496e-01,1.234536e-02,4.791910e-02
8.344828e+00,3.453113e+00,3.453113e+02,1.827104e+00,5.582093e-02,7.767796e-01,1.426862e+00,4.462389e-02,8.332066e-01,7.088369e-01,2.297823e-02,9.279130e-01,8.123201e-01,2.573341e-02,8.659778e-01,1.183557e+00,3.842525e-02,9.321356e-01,1.575221e+00,5.197258e-02,9.783524e-01,1.193725e-02,4.633500e-02
8.620690e+00,3.567266e+00,3.567266e+02,1.853048e+00,5.527929e-02,7.717434e-01,1.443494e+00,4.408296e-02,8.279660e-01,7.204579e-01,2.279216e-02,9.203990e-01,8.247431e-01,2.548355e-02,8.575696e-01,1.198405e+00,3.799033e-02,9.260921e-01,1.591759e+00,5.131753e-02,9.741169e-01,1.155526e-02,4.485228e-02
8.896552e+00,3.681418e+00,3.681418e+02,1.878527e+00,5.475973e-02,7.668969e-01,1.459788e+00,4.356531e-02,8.229220e-01,7.318945e-01,2.261338e-02,9.131796e-01,8.369558e-01,2.524387e-02,8.495040e-01,1.212963e+00,3.757381e-02,9.202763e-01,1.607942e+00,5.069097e-02,9.700324e-01,1.119695e-02,4.346151e-02
9.172414e+00,3.795571e+00,3.795571e+02,1.903561e+00,5.426070e-02,7.622275e-01,1.475759e+00,4.306928e-02,8.180613e-01,7.431550e-01,2.244140e-02,9.062348e-01,8.489683e-01,2.501367e-02,8.417573e-01,1.227245e+00,3.717436e-02,9.146729e-01,1.623787e+00,5.009086e-02,9.660889e-01,1.086020e-02,4.215440e-02
9.448276e+00,3.909723e+00,3.909723e+02,1.928173e+00,5.378080e-02,7.577236e-01,1.491423e+00,4.259334e-02,8.133721e-01,7.542475e-01,2.227577e-02,8.995462e-01,8.607895e-01,2.479229e-02,8.343076e-01,1.241265e+00,3.679082e-02,9.092683e-01,1.639313e+00,4.951532e-02,9.622776e-01,1.054312e-02,4.092361e-02
9.724138e+00,4.023876e+00,4.023876e+02,1.952381e+00,5.331878e-02,7.533748e-01,1.506796e+00,4.213614e-02,8.088436e-01,7.651792e-01,2.211608e-02,8.930974e-01,8.724280e-01,2.457917e-02,8.271354e-01,1.255034e+00,3.642210e-02,9.040498e-01,1.654533e+00,4.896268e-02,9.585904e-01,1.024402e-02,3.976266e-02
1.000000e+01,4.138029e+00,4.138029e+02,1.976202e+00,5.287349e-02,7.491716e-01,1.521891e+00,4.169644e-02,8.044659e-01,7.759569e-01,2.196195e-02,8.868734e-01,8.838918e-01,2.437376e-02,8.202230e-01,1.268564e+00,3.606723e-02,8.990059e-01,1.669463e+00,4.843141e-02,9.550198e-01,9.961428e-03,3.866576e-02
