Re,j_Gyroid,f_Gyroid,Nu_Gyroid,j_Diamond,f_Diamond,Nu_Diamond,j_Primitive,f_Primitive,Nu_Primitive,j_Neovius,f_Neovius,Nu_Neovius,j_FRD,f_FRD,Nu_FRD,j_FKS,f_FKS,Nu_FKS,j_SmoothPlateFin,f_SmoothPlateFin,Nu_SmoothPlateFin,PEC_Gyroid,PEC_Diamond,PEC_Primitive,PEC_Neovius,PEC_FRD,PEC_FKS
2.758532e+02,5.970867e-02,8.124645e-01,1.462451e+01,4.854475e-02,8.703102e-01,1.189012e+01,2.430523e-02,9.815004e-01,5.953108e+00,2.752689e-02,9.263319e-01,6.742192e+00,4.156744e-02,9.749574e-01,1.018116e+01,5.672992e-02,1.008106e+00,1.389492e+01,1.494298e-02,5.800187e-02,3.660000e+00,1.657599e+00,1.317127e+00,6.335485e-01,7.314958e-01,1.085929e+00,1.465616e+00
2.982471e+02,5.832768e-02,7.998798e-01,1.544603e+01,4.714443e-02,8.572309e-01,1.248454e+01,2.383555e-02,9.625337e-01,6.312007e+00,2.688981e-02,9.048928e-01,7.120819e+00,4.044724e-02,9.598558e-01,1.071103e+01,5.502902e-02,9.976637e-01,1.457250e+01,1.382098e-02,5.364679e-02,3.660000e+00,1.714650e+00,1.354275e+00,6.587627e-01,7.586318e-01,1.118912e+00,1.502817e+00
3.224591e+02,5.697862e-02,7.874901e-01,1.631370e+01,4.578451e-02,8.443481e-01,1.310869e+01,2.337495e-02,9.439334e-01,6.692544e+00,2.626747e-02,8.839499e-01,7.520709e+00,3.935722e-02,9.449881e-01,1.126847e+01,5.337913e-02,9.873296e-01,1.528312e+01,1.278323e-02,4.961870e-02,3.660000e+00,1.773665e+00,1.392471e+00,6.849804e-01,7.867745e-01,1.152896e+00,1.540962e+00
3.486365e+02,5.566078e-02,7.752922e-01,1.723011e+01,4.446381e-02,8.316589e-01,1.376403e+01,2.292324e-02,9.256926e-01,7.096022e+00,2.565953e-02,8.634916e-01,7.943055e+00,3.829658e-02,9.303507e-01,1.185493e+01,5.177870e-02,9.771025e-01,1.602839e+01,1.182339e-02,4.589307e-02,3.660000e+00,1.834711e+00,1.431743e+00,7.122416e-01,8.159611e-01,1.187913e+00,1.580076e+00
3.769391e+02,5.437341e-02,7.632833e-01,1.819800e+01,4.318121e-02,8.191605e-01,1.445214e+01,2.248027e-02,9.078042e-01,7.523825e+00,2.506566e-02,8.435069e-01,8.389120e+00,3.726453e-02,9.159400e-01,1.247191e+01,5.022625e-02,9.669813e-01,1.681001e+01,1.093563e-02,4.244718e-02,3.660000e+00,1.897858e+00,1.472123e+00,7.405877e-01,8.462305e-01,1.223993e+00,1.620182e+00
4.075393e+02,5.311581e-02,7.514604e-01,1.922026e+01,4.193561e-02,8.068498e-01,1.517464e+01,2.204585e-02,8.902616e-01,7.977419e+00,2.448554e-02,8.239847e-01,8.860234e+00,3.626029e-02,9.017525e-01,1.312099e+01,4.872036e-02,9.569650e-01,1.762974e+01,1.011453e-02,3.926002e-02,3.660000e+00,1.963178e+00,1.513642e+00,7.700619e-01,8.776228e-01,1.261169e+00,1.661306e+00
4.406236e+02,5.188731e-02,7.398207e-01,2.029995e+01,4.072594e-02,7.947242e-01,1.593327e+01,2.161983e-02,8.730579e-01,8.458360e+00,2.391884e-02,8.049143e-01,9.357805e+00,3.528311e-02,8.877848e-01,1.380386e+01,4.725961e-02,9.470524e-01,1.848945e+01,9.355075e-03,3.631217e-02,3.660000e+00,2.030747e+00,1.556333e+00,8.007091e-01,9.101796e-01,1.299474e+00,1.703474e+00
4.763938e+02,5.068721e-02,7.283612e-01,2.144028e+01,3.955116e-02,7.827808e-01,1.672982e+01,2.120205e-02,8.561867e-01,8.968295e+00,2.336526e-02,7.862853e-01,9.883319e+00,3.433226e-02,8.740334e-01,1.452227e+01,4.584266e-02,9.372425e-01,1.939107e+01,8.652647e-03,3.358566e-02,3.660000e+00,2.100641e+00,1.600227e+00,8.325761e-01,9.439442e-01,1.338943e+00,1.746713e+00
5.150678e+02,4.951488e-02,7.170792e-01,2.264468e+01,3.841027e-02,7.710169e-01,1.756620e+01,2.079233e-02,8.396415e-01,9.508973e+00,2.282450e-02,7.680875e-01,1.043834e+01,3.340704e-02,8.604950e-01,1.527807e+01,4.446819e-02,9.275342e-01,2.033667e+01,8.002960e-03,3.106387e-02,3.660000e+00,2.172941e+00,1.645359e+00,8.657113e-01,9.789613e-01,1.379610e+00,1.791048e+00
5.568814e+02,4.836965e-02,7.059720e-01,2.391672e+01,3.730229e-02,7.594298e-01,1.844439e+01,2.039053e-02,8.234160e-01,1.008225e+01,2.229624e-02,7.503108e-01,1.102454e+01,3.250675e-02,8.471664e-01,1.607320e+01,4.313493e-02,9.179265e-01,2.132838e+01,7.402056e-03,2.873143e-02,3.660000e+00,2.247729e+00,1.691764e+00,9.001652e-01,1.015277e+00,1.421513e+00,1.836510e+00
6.020894e+02,4.725092e-02,6.950368e-01,2.526023e+01,3.622627e-02,7.480168e-01,1.936648e+01,1.999650e-02,8.075041e-01,1.069008e+01,2.178022e-02,7.329455e-01,1.164365e+01,3.163073e-02,8.340442e-01,1.690971e+01,4.184164e-02,9.084183e-01,2.236844e+01,6.846271e-03,2.657412e-02,3.660000e+00,2.325091e+00,1.739477e+00,9.359904e-01,1.052941e+00,1.464688e+00,1.883125e+00
6.509675e+02,4.615806e-02,6.842710e-01,2.667921e+01,3.518129e-02,7.367754e-01,2.033467e+01,1.961008e-02,7.918997e-01,1.133456e+01,2.127614e-02,7.159822e-01,1.229754e+01,3.077831e-02,8.211252e-01,1.778976e+01,4.058714e-02,8.990086e-01,2.345923e+01,6.332216e-03,2.457880e-02,3.660000e+00,2.405116e+00,1.788537e+00,9.732413e-01,1.092001e+00,1.509174e+00,1.930923e+00
7.038136e+02,4.509048e-02,6.736720e-01,2.817789e+01,3.416645e-02,7.257028e-01,2.135126e+01,1.923113e-02,7.765968e-01,1.201790e+01,2.078372e-02,6.994114e-01,1.298814e+01,2.994886e-02,8.084064e-01,1.871561e+01,3.937024e-02,8.896963e-01,2.460321e+01,5.856760e-03,2.273329e-02,3.660000e+00,2.487895e+00,1.838980e+00,1.011975e+00,1.132511e+00,1.555012e+00,1.979934e+00
7.609497e+02,4.404759e-02,6.632371e-01,2.976076e+01,3.318089e-02,7.147967e-01,2.241868e+01,1.885951e-02,7.615896e-01,1.274243e+01,2.030270e-02,6.832242e-01,1.371752e+01,2.914177e-02,7.958845e-01,1.968965e+01,3.818983e-02,8.804805e-01,2.580297e+01,5.417004e-03,2.102636e-02,3.660000e+00,2.573523e+00,1.890846e+00,1.052250e+00,1.174523e+00,1.602242e+00,2.030190e+00
8.227241e+02,4.302882e-02,6.529639e-01,3.143255e+01,3.222376e-02,7.040545e-01,2.353946e+01,1.849506e-02,7.468724e-01,1.351064e+01,1.983281e-02,6.674116e-01,1.448787e+01,2.835643e-02,7.835567e-01,2.071437e+01,3.704481e-02,8.713602e-01,2.706124e+01,5.010267e-03,1.944759e-02,3.660000e+00,2.662098e+00,1.944174e+00,1.094128e+00,1.218094e+00,1.650907e+00,2.081721e+00
8.895135e+02,4.203361e-02,6.428498e-01,3.319826e+01,3.129423e-02,6.934737e-01,2.471627e+01,1.813766e-02,7.324397e-01,1.432517e+01,1.937380e-02,6.519649e-01,1.530148e+01,2.759225e-02,7.714197e-01,2.179243e+01,3.593412e-02,8.623344e-01,2.838086e+01,4.634069e-03,1.798736e-02,3.660000e+00,2.753722e+00,1.999007e+00,1.137672e+00,1.263281e+00,1.701049e+00,2.134560e+00
9.617249e+02,4.106142e-02,6.328923e-01,3.506314e+01,3.039152e-02,6.830519e-01,2.595191e+01,1.778716e-02,7.182858e-01,1.518880e+01,1.892541e-02,6.368758e-01,1.616077e+01,2.684867e-02,7.594708e-01,2.292660e+01,3.485674e-02,8.534020e-01,2.976484e+01,4.286119e-03,1.663677e-02,3.660000e+00,2.848500e+00,2.055386e+00,1.182950e+00,1.310144e+00,1.752715e+00,2.188741e+00
1.039798e+03,4.011172e-02,6.230891e-01,3.703279e+01,2.951485e-02,6.727868e-01,2.724932e+01,1.744343e-02,7.044054e-01,1.610450e+01,1.848740e-02,6.221359e-01,1.706833e+01,2.612512e-02,7.477070e-01,2.411979e+01,3.381165e-02,8.445622e-01,3.121631e+01,3.964295e-03,1.538760e-02,3.660000e+00,2.946539e+00,2.113355e+00,1.230029e+00,1.358746e+00,1.805949e+00,2.244296e+00
1.124210e+03,3.918398e-02,6.134378e-01,3.911308e+01,2.866347e-02,6.626759e-01,2.861160e+01,1.710635e-02,6.907933e-01,1.707540e+01,1.805952e-02,6.077371e-01,1.802685e+01,2.542108e-02,7.361253e-01,2.537508e+01,3.279790e-02,8.358139e-01,3.273856e+01,3.666634e-03,1.423222e-02,3.660000e+00,3.047953e+00,2.172959e+00,1.278982e+00,1.409151e+00,1.860801e+00,2.301262e+00
1.215474e+03,3.827770e-02,6.039359e-01,4.131023e+01,2.783664e-02,6.527170e-01,3.004199e+01,1.677578e-02,6.774442e-01,1.810484e+01,1.764155e-02,5.936716e-01,1.903920e+01,2.473600e-02,7.247231e-01,2.669570e+01,3.181454e-02,8.271563e-01,3.433503e+01,3.391324e-03,1.316359e-02,3.660000e+00,3.152857e+00,2.234244e+00,1.329884e+00,1.461426e+00,1.917318e+00,2.359674e+00
