T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,8939,0.118,0.265,0,0.000000363
1.5,8939,0.17,0.402,0,0.000000364
2,8939,0.224,0.534,0,0.000000364
2.5,8939,0.28,0.664,0,0.000000364
3,8939,0.341,0.795,0,0.000000364
3.5,8939,0.405,0.93,0,0.000000364
4,8939,0.473,1.07,0,0.000000364
4.5,8939,0.546,1.22,0,0.000000364
5,8939,0.626,1.45,0,0.000000364
5.5,8939,0.711,1.67,0,0.000000364
6,8939,0.801,1.91,0,0.000000364
6.5,8939,0.899,2.17,0,0.000000364
7,8939,1,2.44,0,0.000000364
7.5,8939,1.11,2.73,0,0.000000364
8,8939,1.23,3.02,0,0.000000364
8.5,8939,1.36,3.33,0,0.000000364
9,8939,1.5,3.64,0,0.000000364
9.5,8939,1.68,4,0,0.000000365
10,8939,1.8,4.3,0,0.000000365
10.5,8939,1.92,4.6,0,0.000000365
11,8939,2.06,4.9,0,0.000000365
11.5,8939,2.2,5.21,0,0.000000365
12,8939,2.35,5.51,0,0.000000365
12.5,8939,2.52,5.82,0,0.000000365
13,8939,2.7,6.13,0,0.000000365
13.5,8939,2.9,6.44,0,0.000000365
14,8939,3.11,6.75,0,0.000000365
14.5,8939,3.34,7.06,0,0.000000365
15,8939,3.59,7.37,0,0.000000365
15.5,8939,3.86,7.68,0,0.000000365
16,8939,4.15,7.99,6.403139718E-08,0.000000365
16.5,8939,4.47,8.3,8.668004501E-08,0.000000365
17,8939,4.81,8.61,0.0000001003336757,0.000000365
17.5,8939,5.17,8.91,0.0000001249799727,0.000000365
18,8939,5.56,9.21,0.0000001506066974,0.000000365
18.5,8939,5.99,9.52,0.0000001772016881,0.000000365
19,8939,6.44,9.81,0.0000002247528607,0.000000365
19.5,8939,6.82,10.1,0.0000002432482079,0.000000365
20,8939,7.44,10.4,0.0000002726757991,0.000000365
20.5,8939,8.08,10.7,0.0000003030237803,0.000000365
21,8939,8.76,10.9,0.0000003242803736,0.000000365
21.5,8939,9.47,11.2,0.0000003464338774,0.000000365
22,8939,10.2,11.4,0.0000003794726658,0.000000365
22.5,8939,11,11.7,0.0000004033851886,0.000000365
23,8939,11.8,12,0.0000004281599709,0.000000365
23.5,8939,12.7,12.2,0.000000453785613,0.000000365
24,8939,13.5,12.4,0.0000005802507902,0.000000365
24.5,8939,14.5,12.7,0.0000005175442524,0.000000365
25,8939,15.4,12.9,0.0000005356548243,0.000000365
25.5,8939,16.4,13.1,0.0000005645714044,0.000000365
26,8939,17.4,13.4,0.0000005942829657,0.000000365
26.5,8939,18.4,13.6,0.0000006347785549,0.000000365
27,8939,19.5,13.8,0.0000006760472921,0.000000365
27.5,8939,20.6,14,0.0000007080783711,0.000000365
