iteration,unified_error,dT,dP,dQ,Q_total,energy_imbalance,damping
0,0.6555783055527661,0.04948420140388719,0.034658095214300945,1.5721325148708776,82033.30546291183,8.367652905860897,0.1545
1,0.3206139574321267,0.008241946437009002,0.01953092522049789,0.7835274845330588,74738.95948051494,7.80667952311786,0.159135
2,0.2097540437364703,0.04107922621445708,0.010025097134596657,0.4782933345594203,74830.27784941313,6.592494123598161,0.16390905
3,0.14473613900102705,0.06369541271272541,0.0037932062550331998,0.2962483316623256,81105.30643093848,5.114509823705894,0.16882632150000002
4,0.08985022464988252,0.06315419711160342,0.0005856881253294554,0.16117852045043815,90934.27529590033,3.8139021969508047,0.17389111114500003
5,0.03996313182638374,0.04708529956765971,0.0022609275029189086,0.05169206624684018,101120.75285679271,2.8502641962085464,0.17910784447935002
6,0.04283529129647717,0.030358772964078344,0.002894976082686545,0.07528196723577131,109241.56853483315,2.179234200192383,0.15224166780744752
7,0.04058993168933987,0.012974765582067333,0.0026455582881613087,0.08717728449720169,114905.7846129095,1.7006592077980176,0.15680891784167095
8,0.03798082618099704,0.00684438187590949,0.0018607981587630137,0.0871772844972016,117784.88197028356,1.4057084403589823,0.16151318537692108
9,0.03698261729524463,0.004701983917008192,0.0011545496478034241,0.08717728449720166,119250.61683069885,1.170711574527823,0.16635858093822872
10,0.038820990880950125,0.009607643878554187,0.0005350976532388283,0.0871772844972017,119497.18150489249,0.9798253564345685,0.1713493383663756
11,0.04064349193007119,0.014395060952015865,7.276875192060743e-05,0.0871772844972018,118707.01710646786,0.8237520135926669,0.17648981851736686
12,0.04249265573643186,0.018826242548914664,0.0004562245899265364,0.08717728449720172,117043.72015293139,0.6923080178300792,0.18178451307288787
13,0.04419030974802671,0.022877955764788842,0.0008410682161524653,0.0871772844972017,114662.21434402425,0.5819726919064693,0.18723804846507452
14,0.04571663111025048,0.02653409053852168,0.0011604054798057524,0.08717728449720165,111700.99603635739,0.4888123175815881,0.19285518991902675
15,0.040963060379430476,0.029095599814734623,0.001419765833419786,0.07260216821713167,108284.43822696242,0.4098310512602948,0.19864084561659756
16,0.02748332798122599,0.026642615092194632,0.0016048919080178662,0.04126325890686142,104581.85211133091,0.34250924278071054,0.2046000709850955
17,0.0445572462081454,0.01664606557265513,0.0016122932694442999,0.09394090331298623,101319.83862084898,0.2833110148509019,0.17391006033733117
18,0.04855215358384028,0.005262956807996543,0.001339856707740161,0.11544749879773408,99568.58387124847,0.22974667403113966,0.1478235512867315
19,0.045732986357186665,0.0052500741924255915,0.0008488500046610679,0.10865796669821054,99698.3315461556,0.18954830591063068,0.15225825782533345
20,0.04010514885658277,0.008917498879637388,0.00039969166548149275,0.09114552742907879,100899.00449061667,0.15960176769550066,0.15682600556009346
21,0.031843667973524004,0.01045495166255511,5.875453920633063e-05,0.06912484100165173,102839.97859253763,0.13268511475447312,0.16153078572689628
22,0.022640178057304294,0.008548666447877518,0.00015218473364613444,0.047975686328560155,105022.54539864048,0.10943959825221765,0.16637670929870316
23,0.02110665892887638,0.007320336867815508,0.00018789411986244354,0.04535236339444421,106945.905876685,0.09004280219216867,0.17136801057766426
24,0.027242509767625066,0.006000728717474088,7.05689287701759e-05,0.0620702612372035,108238.21081955098,0.07415659811020793,0.1456628089910146
25,0.03003424856226858,0.00832476905844351,0.00016163702479654382,0.06668003383482966,108744.55346832443,0.06116252193451929,0.12381338764236241
