Position_Normalized,T_Hot_K,P_Hot_Pa,x_para_Hot,rho_Hot,mu_Hot,cp_Hot,k_Hot,h_enthalpy_Hot,T_Cold_K,P_Cold_Pa,rho_Cold,mu_Cold,cp_Cold,k_Cold,h_enthalpy_Cold,x_para_Equilibrium,Q_Exchange_W,U_Overall_W_m2K,Re_Hot,Pr_Hot,Nu_Hot,f_Hot,htc_Hot,Re_Cold,Pr_Cold,Nu_Cold,f_Cold,htc_Cold,j_Hot,j_Cold,PEC_Hot,PEC_Cold,Ex_dest_W,S_gen_W_K
0.0,78.0,2000000.0,0.452,6.384938281593234,3.60227167127651e-06,12053.703224855115,0.06153548336144452,1407252.7259345069,79.63005978864842,1499858.9677960027,8.844702063158898,8.68001147388306e-06,5235.581502301143,0.06496766332151015,421485.3615304303,0.4956063817580611,0.04657543767133759,461.4893621098814,282.7636915644343,0.7056207457708122,49.40767846663735,102.78064925013736,1469.4559794504987,352.04776069322173,0.6995004951530095,17.343529409271625,0.7737839040081786,505.6919093351575,0.19626688280568572,0.055497474391551796,0.04189960280067957,0.06045051275428722,26.117685291474903,0.08764323923313726
0.01,78.38247969557442,1999960.4010466388,0.45866234443004694,6.349234803712542,3.6136775640853027e-06,12060.326829480111,0.06173369086474616,1407250.1384101885,79.62990269151614,1499860.5185717342,8.844729019534219,8.680000978694552e-06,5235.581731613491,0.06496758025096146,421484.49902221526,0.49300356192580896,0.0472788986651477,461.8886005542764,281.8712012138131,0.705969979580736,49.385009210684586,102.86962929384774,1473.5127498242762,352.04819290302515,0.6995005756071063,17.34354503653534,0.7737837140130814,505.69170840652185,0.1967655308730255,0.055497454135100474,0.04199394064179469,0.06045049563766532,16.49544242231186,0.055353833631919
0.02,78.68547808282763,1999920.5449506538,0.46394721383297916,6.321236140264255,3.6227060580190805e-06,12066.131949968087,0.06189102636252807,1407247.5118046987,79.62974323067523,1499862.0693421117,8.844756247451757,8.679990322251509e-06,5235.581963765842,0.06496749589862723,421483.62348710326,0.49096158177589,0.04727769748412124,462.2057408158772,281.16872290353666,0.7062744291226108,49.367570928746645,102.94006269159517,1476.7465321952877,352.04862510301507,0.6995006560593899,17.34356066344005,0.7737835240225779,505.69150748292816,0.19715914355021324,0.055497433879141564,0.04206834692887995,0.06045047852145818,10.456848640444361,0.035090096108873696
0.03,78.92492635512613,1999880.4849176,0.46812858363270476,6.299275014041839,3.6298360242442544e-06,12071.065801136356,0.062015549143613055,1407244.8852659673,79.62958377385647,1499863.6201071353,8.844783474986041,8.679979666076588e-06,5235.582195914729,0.06496741154843756,421482.7479741814,0.4893602703125153,0.04692647158655916,462.45686357428065,280.6164325288509,0.7065323148960644,49.354113597926116,102.9956852296117,1479.314336375678,352.0490540389501,0.699500735920151,17.343576172466626,0.7737833354671948,505.691308102196,0.1974692972047887,0.05549741377622549,0.04212693895729233,0.060450461534578594,6.684637977533542,0.0224316710655488
0.04,79.1137812358101,1999840.263509015,0.47143000427404796,6.282045110729586,3.635456030786635e-06,12075.170876758684,0.06211386632249666,1407242.2782397682,79.62942549721623,1499865.170866833,8.844810567057841,8.679969090404955e-06,5235.582426647648,0.06496732783817476,421481.87896547146,0.48810497146275666,0.046573295941083975,462.6551989955156,280.18263105432993,0.7067464221075554,49.34370052223773,103.0395282181595,1481.3469762200932,352.04947969271643,0.6995008151861071,17.343591562961034,0.7737831483548886,505.6911102728767,0.1977133375940888,0.0554973938272007,0.04217301790736152,0.060450444677743596,4.337029125671773,0.014553789012321384
0.05,79.26249571222232,1999799.9146225825,0.4740323468204806,6.268522699735026,3.6398789871081083e-06,12078.53446353498,0.062191340773377055,1407239.690834437,79.62926840735612,1499866.7216212335,8.844837522914602,8.679958595682625e-06,5235.582655956722,0.06496724477138394,421481.01649699546,0.48712121880699516,0.04622262358860902,462.81151296377806,279.84217041166073,0.7069216267436127,49.33562533805522,103.07403273730688,1482.9519287015482,352.04990208751786,0.6995008938614653,17.34360683576133,0.7737829626754527,505.6909139839955,0.1979051310133562,0.05549737403097869,0.04220921722087179,0.06045042795003336,2.880443578688385,0.009665918049289882
0.06,79.37945049958626,1999759.4651614858,0.47608096182201093,6.257905356456527,3.6433554083162107e-06,12081.259358192863,0.06225229231950947,1407237.1229109145,79.62911249582326,1499868.2723703645,8.844864343518841,8.679948181336917e-06,5235.582883852003,0.06496716234351245,421480.1605224743,0.48635047875002757,0.04587446848049936,462.9344930681455,279.57515027579365,0.7070634667721042,49.329352111024164,103.1011531141365,1484.216569516829,352.050321246767,0.6995009719504672,17.343621991713107,0.7737827784185891,505.6907192244809,0.19805571485517143,0.055497354386461244,0.04223762961727918,0.060450411350519886,1.9789058409343205,0.006640623627296377
0.07,79.47133127555409,1999718.936417775,0.477692023651178,6.249564141753819,3.646084914977535e-06,12083.447847277588,0.062300179502294675,1407234.5743293297,79.62895775419126,1499869.823114254,8.844891029841685,8.67993784679e-06,5235.583110343641,0.0649670805499671,421479.3109952175,0.48574677656219395,0.11402445654061857,463.0309147441917,279.36585667654595,0.7071773672057212,49.32447201655508,103.12244663548583,1485.2113490016309,352.05137401054617,0.6995011648562911,17.3436600287373,0.7737823156387129,505.69022505284545,0.19817384426023438,0.055497305040446865,0.042259912935470795,0.06045036965172716,1.4222253713400932,0.0047725683602016546
0.08,79.5431604929376,1999678.3452051063,0.47895814787879903,6.243033390443283,3.648216902320989e-06,12085.193443225719,0.06233759848876463,1407228.2396373362,79.62857401508177,1499871.373847446,8.844944016501508,8.679911890566434e-06,5235.5836118573625,0.06496687458119073,421477.19943121326,0.48527592259940305,0.5115439407285991,463.10511851423945,279.202597614222,0.7072682948372045,49.320693994145806,103.13907876855866,1485.9895741390653,352.0561226797431,0.6995020275027509,17.34383153401626,0.7737802282123989,505.68798439241266,0.19826603784807662,0.05549708244344869,0.04227730013140422,0.06045018154693179,1.0800265464815104,0.0036242501559782224
0.09,79.59776892301394,1999637.70499398,0.47995372603505276,6.2380559132338105,3.649833688580274e-06,12086.576729409753,0.06236597823204468,1407199.8205294914,79.62685453224012,1499872.9245381118,8.8451504180962,8.679794812556505e-06,5235.5857176507,0.06496594429468006,421467.7263952187,0.4849185985604954,0.9582818705022624,463.1599346873364,279.07891775319376,0.7073407036521653,49.31788260170237,103.15169169719418,1486.5813406713578,352.065025263354,0.6995036428755239,17.344153045956887,0.7737763148939142,505.6837809307936,0.19833582891924598,0.05549666513556137,0.04229045820838556,0.060449828900986886,0.870630302378234,0.002921578195900114
